image_id,vehicle_type,x1,y1,x2,y2,cropped_image_path
2659,car,143,24,163,30,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002659_0.jpg
43,bus,60,58,359,391,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000043_0.jpg
1851,car,439,207,527,253,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001851_0.jpg
1870,car,293,50,454,140,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001870_0.jpg
435,car,502,127,545,159,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000435_0.jpg
1874,car,564,153,614,184,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001874_0.jpg
4000,work_van,75,44,115,71,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00004000_0.jpg
2509,car,212,194,413,278,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002509_0.jpg
884,motorized_vehicle,315,67,336,77,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000884_0.jpg
2340,car,395,139,450,164,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002340_0.jpg
1264,car,13,108,89,142,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001264_0.jpg
2811,motorized_vehicle,625,129,709,211,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002811_0.jpg
2029,car,115,39,216,93,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002029_0.jpg
2976,car,17,96,88,129,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002976_0.jpg
1898,car,411,110,441,130,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001898_0.jpg
974,motorized_vehicle,0,127,33,150,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000974_0.jpg
3178,pickup_truck,3,187,61,221,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003178_0.jpg
2152,articulated_truck,3,94,143,240,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002152_0.jpg
2487,car,35,107,140,158,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002487_0.jpg
3691,car,639,47,671,60,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003691_0.jpg
328,car,156,26,182,36,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000328_0.jpg
619,car,224,62,308,102,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000619_0.jpg
991,motorized_vehicle,21,136,54,161,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000991_0.jpg
1299,car,619,171,670,201,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001299_0.jpg
1496,single_unit_truck,1,52,23,72,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001496_0.jpg
350,car,34,98,153,155,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000350_0.jpg
2250,car,618,161,674,187,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002250_0.jpg
2978,car,393,202,482,258,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002978_0.jpg
3137,car,333,54,349,67,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003137_0.jpg
3226,pickup_truck,518,222,713,365,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003226_0.jpg
2859,car,354,100,383,116,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002859_0.jpg
3178,car,608,166,649,211,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003178_1.jpg
1523,car,563,166,626,192,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001523_0.jpg
3145,car,100,98,191,145,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003145_0.jpg
1520,motorized_vehicle,667,224,719,268,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001520_0.jpg
2794,car,250,69,316,102,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002794_0.jpg
472,car,237,96,336,148,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000472_0.jpg
1032,articulated_truck,458,3,537,32,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001032_0.jpg
2645,car,186,28,209,33,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002645_0.jpg
3159,car,694,181,713,195,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003159_0.jpg
1117,car,516,108,560,135,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001117_0.jpg
2594,bicycle,44,156,84,205,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002594_0.jpg
716,car,264,281,607,478,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000716_0.jpg
3960,motorized_vehicle,4,157,26,210,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003960_0.jpg
2853,car,140,98,199,136,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002853_0.jpg
2467,pickup_truck,533,127,576,142,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002467_0.jpg
3231,work_van,218,240,406,392,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003231_0.jpg
43,pickup_truck,612,77,663,121,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000043_1.jpg
2341,work_van,300,111,341,130,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002341_0.jpg
2502,car,604,178,652,227,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002502_0.jpg
3113,car,348,114,380,142,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003113_0.jpg
187,single_unit_truck,43,150,101,205,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000187_0.jpg
1752,car,473,147,518,169,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001752_0.jpg
2096,car,273,73,299,100,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002096_0.jpg
1175,pickup_truck,98,224,218,309,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001175_0.jpg
2836,car,638,45,673,58,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002836_0.jpg
127,car,250,104,267,116,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000127_0.jpg
3645,car,692,142,714,174,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003645_0.jpg
3768,car,474,80,520,107,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003768_0.jpg
1339,bus,0,142,597,479,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001339_0.jpg
1696,pickup_truck,260,44,306,68,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001696_0.jpg
2102,car,224,25,258,41,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002102_0.jpg
1960,car,471,220,579,280,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001960_0.jpg
2549,pickup_truck,439,178,498,229,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002549_0.jpg
3468,car,374,179,457,219,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003468_0.jpg
3721,motorcycle,577,196,673,265,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003721_0.jpg
2997,car,534,101,561,116,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002997_0.jpg
1826,car,346,324,558,479,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001826_0.jpg
3436,pickup_truck,383,187,482,258,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003436_0.jpg
57,work_van,209,63,315,123,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000057_0.jpg
718,car,236,249,287,331,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000718_0.jpg
1427,car,622,167,667,199,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001427_0.jpg
1023,car,264,109,339,161,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001023_0.jpg
3505,car,128,291,195,394,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003505_0.jpg
2250,motorized_vehicle,38,121,77,148,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002250_1.jpg
3665,car,256,203,312,250,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003665_0.jpg
3788,car,141,39,196,65,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003788_0.jpg
2752,work_van,106,50,355,235,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002752_0.jpg
1544,bus,267,161,371,261,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001544_0.jpg
3774,car,131,130,241,175,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003774_0.jpg
130,motorized_vehicle,224,31,257,54,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000130_0.jpg
2276,car,135,98,201,134,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002276_0.jpg
3954,car,23,57,97,95,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003954_0.jpg
501,car,209,160,293,211,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000501_0.jpg
3302,car,118,63,161,78,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003302_0.jpg
3671,pickup_truck,68,94,186,185,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003671_0.jpg
3303,car,438,111,464,125,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003303_0.jpg
2379,pickup_truck,35,164,66,189,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002379_0.jpg
1847,pedestrian,370,175,383,203,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001847_0.jpg
3907,pickup_truck,420,298,621,404,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003907_0.jpg
3952,car,596,234,661,314,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003952_0.jpg
1080,pedestrian,565,145,582,170,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001080_0.jpg
1567,car,532,341,718,477,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001567_0.jpg
